artifact_id,museum_no,designation,publications_key,publications_type,publications_exact_ref,publications_comment,provenience,period,dates,collections,genres,materials,artifact_type,height,thickness,width,weight,elevation,excavation_no,findspot_square,findspot_comments,stratigraphic_level,surface_preservation,condition_description,artifact_preservation,languages,written_in,archive,composite_no,composites,seal_no,seals,accession_no,cdli_comments,artifact_comments,provenience_comments,is_provenience_uncertain,period_comments,is_period_uncertain,artifact_type_comments,is_artifact_type_uncertain,seal_information,is_school_text,alternative_years,external_resources,external_resources_key,genres_comment,genres_uncertain,languages_uncertain,materials_aspect,materials_color,materials_uncertain,retired,has_fragments,is_artifact_fake,redirect_artifact_id,retired_comments
1157,"VAT 14899","ATU 5, pl. 048, W 9311,b","Bauer2001AfO48; Englund1994ATU5; Falkenstein1936ATU1","citation; primary; history","172; pl. 48, W 9311,b; 251","; 61x44x28 - same locus as W 9311,a - ATU 1, 251 - 12.1.1931.; ","Uruk (mod. Warka)","Uruk IV (ca. 3350-3200 BC)",,"Vorderasiatisches Museum, Berlin, Germany",Administrative,clay,tablet,61.0,28.0,44.0,,,"W 09311,b","Qa XVI,3","unter der Abgleichung der Schicht III, 1,5 m über der Höhe des Kalksteinsockels// t.a.q. IIIc",,,,,undetermined,,,,,,,,,,,0,,0,,0,,0,,,," ",0,0,,,0,0,0,0,,
1158,"VAT 14906","ATU 5, pl. 048, W 9311,c","Englund1994ATU5; Falkenstein1936ATU1; sec1082","primary; history; history","pl. 48, W 9311,c; 312; ","72x49x26 - same locus as W 9311,a - ATU 1, 312 - L. Jakob-Rost, Sumerische Kunst (Berlin 1966) pl. 1, obv. photo - D. Schmandt-Besserat, Before Writing vol. 1, p. 13, fig. 10, obv. photo - 12.1.1931 - the text records two types of either beer or dairy fats cons; ; ","Uruk (mod. Warka)","Uruk IV (ca. 3350-3200 BC)",,"Vorderasiatisches Museum, Berlin, Germany",Administrative,clay,tablet,72.0,26.0,49.0,,,"W 09311,c","Qa XVI,3","unter der Abgleichung der Schicht III, 1,5 m über der Höhe des Kalksteinsockels// t.a.q. IIIc",,,,,undetermined,,,,,,,,,,,0,,0,,0,,0,,,," ",0,0,,,0,0,0,0,,
1159,"VAT 14904","ATU 5, pl. 048, W 9311,d","Englund1994ATU5; Falkenstein1936ATU1","primary; history","pl. 48, W 9311,d; 526","61x40x27 - same locus as W 9311,a - ATU 1, 526 - 12.1.1931.; ","Uruk (mod. Warka)","Uruk IV (ca. 3350-3200 BC)",,"Vorderasiatisches Museum, Berlin, Germany",Administrative,clay,tablet,61.0,27.0,40.0,,,"W 09311,d","Qa XVI,3","unter der Abgleichung der Schicht III, 1,5 m über der Höhe des Kalksteinsockels// t.a.q. IIIc",,,,,undetermined,,,,,,,,,,,0,,0,,0,,0,,,," ",0,0,,,0,0,0,0,,
1160,"VAT 14932","ATU 5, pl. 049, W 9311,e","Englund1994ATU5; Falkenstein1936ATU1","primary; history","pl. 49, W 9311,e; 316","53x38x22 - same locus as W 9311,a - ATU 1, 316 - 12.1.1931 - there is no obvious connection between the entries on the obverse of the text and the apparent total of beer jugs DUGc on the reverse, but note the relationship of 12 SUˆUR = 1 DUGc in the text W 20; ","Uruk (mod. Warka)","Uruk IV (ca. 3350-3200 BC)",,"Vorderasiatisches Museum, Berlin, Germany",Administrative,clay,tablet,53.0,22.0,38.0,,,"W 09311,e","Qa XVI,3","unter der Abgleichung der Schicht III, 1,5 m über der Höhe des Kalksteinsockels",,,,,undetermined,,,,,,,,,,,0,,0,,0,,0,,,," ",0,0,,,0,0,0,0,,
1161,"VAT 14968 + VAT 15352","ATU 5, pl. 049, W 9311,f+","Englund1994ATU5; Falkenstein1936ATU1","primary; history","pl. 49, W 9311,f+; 354","50x39x24 - same locus as W 9311,a - ATU 1, 354 - 12.1.1931.; ","Uruk (mod. Warka)","Uruk IV (ca. 3350-3200 BC)",,"Vorderasiatisches Museum, Berlin, Germany",Administrative,clay,tablet,50.0,24.0,39.0,,,"W 09311,f +","Qa XVI,3","unter der Abgleichung der Schicht III, 1,5 m über der Höhe des Kalksteinsockels// t.a.q. IIIc",,,,,undetermined,,,,,,,,,,,0,,0,,0,,0,,,," ",0,0,,,0,0,0,0,,
1162,"VAT 14922","ATU 5, pl. 049, W 9311,h","Englund1994ATU5; Falkenstein1936ATU1","primary; history","pl. 49, W 9311,h; 464","28x37x17 - same locus as W 9311,a - ATU 1, 464 - 12.1.1931.; ","Uruk (mod. Warka)","Uruk IV (ca. 3350-3200 BC)",,"Vorderasiatisches Museum, Berlin, Germany",Administrative,clay,tablet,28.0,17.0,37.0,,,"W 09311,h","Qa XVI,3","unter der Abgleichung der Schicht III, 1,5 m über der Höhe des Kalksteinsockels// t.a.q. IIIc",,,,,undetermined,,,,,,,,,,,0,,0,,0,,0,,,," ",0,0,,,0,0,0,0,,
1163,"VAT 14827","ATU 5, pl. 049, W 9311,i","Bauer2001AfO48; Englund1994ATU5; Falkenstein1936ATU1","citation; primary; history","172; pl. 49, W 9311,i; 105","; 32x23x12 - same locus as W 9311,a - ATU 1, 105 - 12.1.1931.; ","Uruk (mod. Warka)","Uruk IV (ca. 3350-3200 BC)",,"Vorderasiatisches Museum, Berlin, Germany",Administrative,clay,tablet,32.0,12.0,23.0,,,"W 09311,i","Qa XVI,3","unter der Abgleichung der Schicht III, 1,5 m über der Höhe des Kalksteinsockels// t.a.q. IIIc",,,,,undetermined,,,,,,,,,,,0,,0,,0,,0,,,," ",0,0,,,0,0,0,0,,
1164,"VAT 15166","ATU 5, pl. 049, W 9311,k","Englund1994ATU5; Falkenstein1936ATU1","primary; history","pl. 49, W 9311,k; 496","27x41x24 - same locus as W 9311,a - ATU 1, 496 - 12.1.1931 - tablet rotated around vertical axis.; ","Uruk (mod. Warka)","Uruk IV (ca. 3350-3200 BC)",,"Vorderasiatisches Museum, Berlin, Germany",Administrative,clay,tablet,27.0,24.0,41.0,,,"W 09311,k","Qa XVI,3","unter der Abgleichung der Schicht III, 1,5 m über der Höhe des Kalksteinsockels// t.a.q. IIIc",,,,,undetermined,,,,,,,,,,,0,,0,,0,,0,,,," ",0,0,,,0,0,0,0,,
1165,"VAT 15183","ATU 5, pl. 049, W 9311,l","Englund1994ATU5; Falkenstein1936ATU1","primary; history","pl. 49, W 9311,l; 541","33x30x22 - same locus as W 9311,a - ATU 1, 541 - 12.1.1931.; ","Uruk (mod. Warka)","Uruk IV (ca. 3350-3200 BC)",,"Vorderasiatisches Museum, Berlin, Germany",Administrative,clay,tablet,33.0,22.0,30.0,,,"W 09311,l","Qa XVI,3","unter der Abgleichung der Schicht III, 1,5 m über der Höhe des Kalksteinsockels// t.a.q. IIIc",,,,,undetermined,,,,,,,,,,,0,,0,,0,,0,,,," ",0,0,,,0,0,0,0,,
1166,"VAT 15044","ATU 5, pl. 049, W 9311,m","Englund1994ATU5; Falkenstein1936ATU1","primary; history","pl. 49, W 9311,m; 440","30x24x19 - same locus as W 9311,a - ATU 1, 440 - 12.1.1931.; ","Uruk (mod. Warka)","Uruk IV (ca. 3350-3200 BC)",,"Vorderasiatisches Museum, Berlin, Germany",Administrative,clay,tablet,30.0,19.0,24.0,,,"W 09311,m","Qa XVI,3","unter der Abgleichung der Schicht III, 1,5 m über der Höhe des Kalksteinsockels// t.a.q. IIIc",,,,,undetermined,,,,,,,,,,,0,,0,,0,,0,,,," ",0,0,,,0,0,0,0,,
1167,"VAT 15064","ATU 5, pl. 049, W 9311,n","Englund1994ATU5; Falkenstein1936ATU1","primary; history","pl. 49, W 9311,n; 491","26x38x20 - same locus as W 9311,a - ATU 1, 491 - 12.1.1931.; ","Uruk (mod. Warka)","Uruk IV (ca. 3350-3200 BC)",,"Vorderasiatisches Museum, Berlin, Germany",Administrative,clay,tablet,26.0,20.0,38.0,,,"W 09311,n","Qa XVI,3","unter der Abgleichung der Schicht III, 1,5 m über der Höhe des Kalksteinsockels// t.a.q. IIIc",,,,,undetermined,,,,,,,,,,,0,,0,,0,,0,,,," ",0,0,,,0,0,0,0,,
1168,"VAT 14959","ATU 5, pl. 049, W 9311,o","Englund1994ATU5; Falkenstein1936ATU1","primary; history","pl. 49, W 9311,o; 408","27x31x23 - same locus as W 9311,a - ATU 1, 408 - 12.1.1931.; ","Uruk (mod. Warka)","Uruk IV (ca. 3350-3200 BC)",,"Vorderasiatisches Museum, Berlin, Germany",Administrative,clay,tablet,27.0,23.0,31.0,,,"W 09311,o","Qa XVI,3","unter der Abgleichung der Schicht III, 1,5 m über der Höhe des Kalksteinsockels// t.a.q. IIIc",,,,,undetermined,,,,,,,,,,,0,,0,,0,,0,,,," ",0,0,,,0,0,0,0,,
1169,"VAT 15311","ATU 5, pl. 050, W 9311,p","Englund1994ATU5; Falkenstein1936ATU1","primary; history","pl. 50, W 9311,p; 483","34x18x8 - same locus as W 9311,a - ATU 1, 483 - 12.1.1931.; ","Uruk (mod. Warka)","Uruk IV (ca. 3350-3200 BC)",,"Vorderasiatisches Museum, Berlin, Germany",Administrative,clay,tablet,34.0,8.0,18.0,,,"W 09311,p","Qa XVI,3","unter der Abgleichung der Schicht III, 1,5 m über der Höhe des Kalksteinsockels// t.a.q. IIIc",,,,,undetermined,,,,,,,,,,,0,,0,,0,,0,,,," ",0,0,,,0,0,0,0,,
1170,"VAT 14978","ATU 5, pl. 050, W 9311,q","Englund1994ATU5; Falkenstein1936ATU1","primary; history","pl. 50, W 9311,q; 396","34x21x15 - same locus as W 9311,a - ATU 1, 396 - 12.1.1931.; ","Uruk (mod. Warka)","Uruk IV (ca. 3350-3200 BC)",,"Vorderasiatisches Museum, Berlin, Germany",Administrative,clay,tablet,34.0,15.0,21.0,,,"W 09311,q","Qa XVI,3","unter der Abgleichung der Schicht III, 1,5 m über der Höhe des Kalksteinsockels// t.a.q. IIIc",,,,,undetermined,,,,,,,,,,,0,,0,,0,,0,,,," ",0,0,,,0,0,0,0,,
1171,"VAT 15200","ATU 5, pl. 050, W 9311,r",Englund1994ATU5,primary,"pl. 50, W 9311,r","33x23x22 - same locus as W 9311,a - 12.1.1931.","Uruk (mod. Warka)","Uruk IV (ca. 3350-3200 BC)",,"Vorderasiatisches Museum, Berlin, Germany",Administrative,clay,tablet,33.0,22.0,23.0,,,"W 09311,r","Qa XVI,3","unter der Abgleichung der Schicht III, 1,5 m über der Höhe des Kalksteinsockels// t.a.q. IIIc",,,,,undetermined,,,,,,,,,,,0,,0,,0,,0,,,," ",0,0,,,0,0,0,0,,
1172,"VAT 15099","ATU 5, pl. 050, W 9311,t","Englund1994ATU5; Falkenstein1936ATU1","primary; history","pl. 50, W 9311,t; 485","32x13x18 - same locus as W 9311,a - ATU 1, 485 - 12.1.1931.; ","Uruk (mod. Warka)","Uruk IV (ca. 3350-3200 BC)",,"Vorderasiatisches Museum, Berlin, Germany",Administrative,clay,tablet,32.0,18.0,13.0,,,"W 09311,t","Qa XVI,3","unter der Abgleichung der Schicht III, 1,5 m über der Höhe des Kalksteinsockels// t.a.q. IIIc",,,,,undetermined,,,,,,,,,,,0,,0,,0,,0,,,," ",0,0,,,0,0,0,0,,
1173,"VAT 21366","ATU 5, pl. 050, W 9311,u",Englund1994ATU5,primary,"pl. 50, W 9311,u","37x14x20 - same locus as W 9311,a - 12.1.1931.","Uruk (mod. Warka)","Uruk III (ca. 3200-3000 BC)",,"Vorderasiatisches Museum, Berlin, Germany",Administrative,clay,tablet,37.0,20.0,14.0,,,"W 09311,u","Qa XVI,2","unter der Abgleichung der Schicht III, 1,5 m über der Höhe des Kalksteinsockels// t.a.q. IIIc",,,,,undetermined,,,,,,,,,,,0,,0,,0,,0,,,," ",0,0,,,0,0,0,0,,
1174,"VAT 17840","ATU 5, pl. 050, W 9311,w",Englund1994ATU5,primary,"pl. 50, W 9311,w","29x43x25 - same locus as W 9311,a - 12.1.1931.","Uruk (mod. Warka)","Uruk IV (ca. 3350-3200 BC)",,"Vorderasiatisches Museum, Berlin, Germany",Administrative,clay,tablet,29.0,25.0,43.0,,,"W 09311,w","Qa XVI,3","unter der Abgleichung der Schicht III, 1,5 m über der Höhe des Kalksteinsockels// t.a.q. IIIc",,,,,undetermined,,,,,,,,,,,0,,0,,0,,0,,,," ",0,0,,,0,0,0,0,,
1175,"VAT 21397","ATU 5, pl. 050, W 9311,x",Englund1994ATU5,primary,"pl. 50, W 9311,x","18x24x14 - same locus as W 9311,a - 12.1.1931.","Uruk (mod. Warka)","Uruk IV (ca. 3350-3200 BC)",,"Vorderasiatisches Museum, Berlin, Germany",Administrative,clay,tablet,18.0,14.0,24.0,,,"W 09311,x","Qa XVI,3","unter der Abgleichung der Schicht III, 1,5 m über der Höhe des Kalksteinsockels",,,,,undetermined,,,,,,,,,,,0,,0,,0,,0,,,," ",0,0,,,0,0,0,0,,
1176,"VAT 15308","ATU 5, pl. 050, W 9312,a",Englund1994ATU5,primary,"pl. 50, W 9312,a","68x50x27 - same locus as W 9311,a - 13.1.1931.","Uruk (mod. Warka)","Uruk IV (ca. 3350-3200 BC)",,"Vorderasiatisches Museum, Berlin, Germany",Administrative,clay,tablet,68.0,27.0,50.0,,,"W 09312,a","Qa XVI,3","unter der Abgleichung der Schicht III, 1,5 m über der Höhe des Kalksteinsockels// t.a.q. IIIc",,,,,undetermined,,,,,,,,,,,0,,0,,0,,0,,,," ",0,0,,,0,0,0,0,,
1177,"VAT 14940","ATU 5, pl. 050, W 9312,b","Englund1994ATU5; Falkenstein1936ATU1","primary; history","pl. 50, W 9312,b; 325","56x40x30 - same locus as W 9311,a - ATU 1, 325 - 13.1.1931.; ","Uruk (mod. Warka)","Uruk IV (ca. 3350-3200 BC)",,"Vorderasiatisches Museum, Berlin, Germany",Administrative,clay,tablet,56.0,30.0,40.0,,,"W 09312,b","Qa XVI,3","unter der Abgleichung der Schicht III, 1,5 m über der Höhe des Kalksteinsockels// t.a.q. IIIc",,,,,undetermined,,,,,,,,,,,0,,0,,0,,0,,,," ",0,0,,,0,0,0,0,,
1178,"VAT 14831","ATU 5, pl. 050, W 9312,c","Englund1994ATU5; Falkenstein1936ATU1","primary; history","pl. 50, W 9312,c; 173","47x36x19 - same locus as W 9311,a - ATU 1, 173 - 13.1.1931.; ","Uruk (mod. Warka)","Uruk IV (ca. 3350-3200 BC)",,"Vorderasiatisches Museum, Berlin, Germany",Administrative,clay,tablet,47.0,19.0,36.0,,,"W 09312,c","Qa XVI,3","unter der Abgleichung der Schicht III, 1,5 m über der Höhe des Kalksteinsockels// t.a.q. IIIc",,,,,undetermined,,,,,,,,,,,0,,0,,0,,0,,,," ",0,0,,,0,0,0,0,,
1179,"VAT 14909","ATU 5, pl. 051, W 9312,d","Englund1994ATU5; Falkenstein1936ATU1","primary; history","pl. 51, W 9312,d; 355","60x67x29 - same locus as W 9311,a - ATU 1, 355 - 13.1.1931.; ","Uruk (mod. Warka)","Uruk IV (ca. 3350-3200 BC)",,"Vorderasiatisches Museum, Berlin, Germany",Administrative,clay,tablet,60.0,29.0,67.0,,,"W 09312,d","Qa XVI,3","unter der Abgleichung der Schicht III, 1,5 m über der Höhe des Kalksteinsockels// t.a.q. IIIc",,,,,undetermined,,,,,,,,,,,0,,0,,0,,0,,,," ",0,0,,,0,0,0,0,,
1180,"VAT 14981","ATU 5, pl. 051, W 9312,e","Englund1994ATU5; Falkenstein1936ATU1","primary; history","pl. 51, W 9312,e; 376","45x40x26 - same locus as W 9311,a - ATU 1, 376 - 13.1.1931.; ","Uruk (mod. Warka)","Uruk IV (ca. 3350-3200 BC)",,"Vorderasiatisches Museum, Berlin, Germany",Administrative,clay,tablet,45.0,26.0,40.0,,,"W 09312,e","Qa XVI,3","unter der Abgleichung der Schicht III, 1,5 m über der Höhe des Kalksteinsockels// t.a.q. IIIc",,,,,undetermined,,,,,,,,,,,0,,0,,0,,0,,,," ",0,0,,,0,0,0,0,,
1181,"VAT 14723","ATU 5, pl. 051, W 9312,f","Englund1994ATU5; Falkenstein1936ATU1","primary; history","pl. 51, W 9312,f; 195","45x37x12 - same locus as W 9311,a - ATU 1, 195 - 13.1.1931 - see P. Damerow and R. Englund, ATU 2, p. 146.; ","Uruk (mod. Warka)","Uruk IV (ca. 3350-3200 BC)",,"Vorderasiatisches Museum, Berlin, Germany",Administrative,clay,tablet,45.0,12.0,37.0,,,"W 09312,f","Qa XVI,3","unter der Abgleichung der Schicht III, 1,5 m über der Höhe des Kalksteinsockels// t.a.q. IIIc",,,,,undetermined,,,,,,,,,,,0,,0,,0,,0,,,," ",0,0,,,0,0,0,0,,
1182,"VAT 14841","ATU 5, pl. 051, W 9312,g","Englund1994ATU5; Falkenstein1936ATU1; Szarzyńska1970Uruk","primary; history; history","pl. 51, W 9312,g; 104; p. 11","35x27x14 - same locus as W 9311,a - ATU 1, 104 - 13.1.1931.; ; ","Uruk (mod. Warka)","Uruk IV (ca. 3350-3200 BC)",,"Vorderasiatisches Museum, Berlin, Germany",Administrative,clay,tablet,35.0,14.0,27.0,,,"W 09312,g","Qa XVI,3","unter der Abgleichung der Schicht III, 1,5 m über der Höhe des Kalksteinsockels// t.a.q. IIIc",,,,,undetermined,,,,,,,,,,,0,,0,,0,,0,,,," ",0,0,,,0,0,0,0,,
1183,"VAT 15306","ATU 5, pl. 051, W 9312,h","Englund1994ATU5; Falkenstein1936ATU1","primary; history","pl. 51, W 9312,h; 7","37x29x13 - same locus as W 9311,a - ATU 1, 7 - 13.1.1931.; ","Uruk (mod. Warka)","Uruk IV (ca. 3350-3200 BC)",,"Vorderasiatisches Museum, Berlin, Germany",Administrative,clay,tablet,37.0,13.0,29.0,,,"W 09312,h","Qa XVI,3","unter der Abgleichung der Schicht III, 1,5 m über der Höhe des Kalksteinsockels// t.a.q. IIIc",,,,,undetermined,,,,,,,,,,,0,,0,,0,,0,,,," ",0,0,,,0,0,0,0,,
1184,"VAT 14748","ATU 5, pl. 051, W 9312,i","Englund1994ATU5; Falkenstein1936ATU1; LambertM1966Archeologia12","primary; history; history","pl. 51, W 9312,i; 149; 9-10, 29","44x29x16 - same locus as W 9311,a - ATU 1, 149 - M. Lambert, Archéologia 12 (9-10.1966) 29 - 13.1.1931.; ; ","Uruk (mod. Warka)","Uruk IV (ca. 3350-3200 BC)",,"Vorderasiatisches Museum, Berlin, Germany",Administrative,clay,tablet,44.0,16.0,29.0,,,"W 09312,i","Qa XVI,3","unter der Abgleichung der Schicht III, 1,5 m über der Höhe des Kalksteinsockels// t.a.q. IIIc",,,,,undetermined,,,,,,,,,,,0,,0,,0,,0,,,," ",0,0,,,0,0,0,0,,
1185,"VAT 14925","ATU 5, pl. 052, W 9312,k","Englund1994ATU5; Falkenstein1936ATU1","primary; history","pl. 52, W 9312,k; 465","34x37x22 - same locus as W 9311,a - ATU 1, 465 - 13.1.1931.; ","Uruk (mod. Warka)","Uruk IV (ca. 3350-3200 BC)",,"Vorderasiatisches Museum, Berlin, Germany",Administrative,clay,tablet,34.0,22.0,37.0,,,"W 09312,k","Qa XVI,3","unter der Abgleichung der Schicht III, 1,5 m über der Höhe des Kalksteinsockels// t.a.q. IIIc",,,,,undetermined,,,,,,,,,,,0,,0,,0,,0,,,," ",0,0,,,0,0,0,0,,
1186,"VAT 14782","ATU 5, pl. 052, W 9312,l","Englund1994ATU5; Falkenstein1936ATU1; LambertM1966Archeologia12","primary; history; history","pl. 52, W 9312,l; 185; 9-10, 29","35x31x13 - same locus as W 9311,a - ATU 1, 185 - M. Lambert, Archéologia 12 (9-10.1966) 29 - 13.1.1931.; ; ","Uruk (mod. Warka)","Uruk IV (ca. 3350-3200 BC)",,"Vorderasiatisches Museum, Berlin, Germany",Administrative,clay,tablet,35.0,13.0,31.0,,,"W 09312,l","Qa XVI,3","unter der Abgleichung der Schicht III, 1,5 m über der Höhe des Kalksteinsockels// t.a.q. IIIc",,,,,undetermined,,,,,,,,,,,0,,0,,0,,0,,,," ",0,0,,,0,0,0,0,,
1187,"VAT 21352","ATU 5, pl. 052, W 9312,m",Englund1994ATU5,primary,"pl. 52, W 9312,m","49x32x23 - same locus as W 9311,a - 13.1.1931.","Uruk (mod. Warka)","Uruk III (ca. 3200-3000 BC)",,"Vorderasiatisches Museum, Berlin, Germany",Administrative,clay,tablet,49.0,23.0,32.0,,,"W 09312,m","Qa XVI,2","unter der Abgleichung der Schicht III, 1,5 m über der Höhe des Kalksteinsockels// t.a.q. IIIc",,,,,undetermined,,,,,,,,,,,0,,0,,0,,0,,,," ",0,0,,,0,0,0,0,,
1188,"VAT 14929","ATU 5, pl. 052, W 9312,n1","Englund1994ATU5; Falkenstein1936ATU1","primary; history","pl. 52, W 9312,n1; 463","32x43x22 - same locus as W 9311,a - ATU 1, 463 - 13.1.1931 - "",n"" was ascribed the tablet after the war - see the remarks to W 9206,b.; ","Uruk (mod. Warka)","Uruk IV (ca. 3350-3200 BC)",,"Vorderasiatisches Museum, Berlin, Germany",Administrative,clay,tablet,32.0,22.0,43.0,,,"W 09312,n1","Qa XVI,3","unter der Abgleichung der Schicht III, 1,5 m über der Höhe des Kalksteinsockels// t.a.q. IIIc",,,,,undetermined,,,,,,,,,,,0,,0,,0,,0,,,," ",0,0,,,0,0,0,0,,
1189,"VAT 15078","ATU 5, pl. 052, W 9312,n2+","Englund1994ATU5; Falkenstein1936ATU1","primary; history","pl. 52, W 9312,n2+; 362","75x30x31 - same locus as W 9311,a - ATU 1, 362 - 13.1.1931.; ","Uruk (mod. Warka)","Uruk IV (ca. 3350-3200 BC)",,"Vorderasiatisches Museum, Berlin, Germany",Administrative,clay,tablet,75.0,31.0,30.0,,,"W 09312,n2 + W 09312,r","Qa XVI,3","unter der Abgleichung der Schicht III, 1,5 m über der Höhe des Kalksteinsockels// t.a.q. IIIc",,,,,undetermined,,,,,,,,,,,0,,0,,0,,0,,,," ",0,0,,,0,0,0,0,,
1190,"VAT 15227","ATU 5, pl. 052, W 9312,o","Englund1994ATU5; Falkenstein1936ATU1","primary; history","pl. 52, W 9312,o; 508","53x26x27 - same locus as W 9311,a - ATU 1, 508 - 13.1.1931.; ","Uruk (mod. Warka)","Uruk IV (ca. 3350-3200 BC)",,"Vorderasiatisches Museum, Berlin, Germany",Administrative,clay,tablet,53.0,27.0,26.0,,,"W 09312,o","Qa XVI,3","unter der Abgleichung der Schicht III, 1,5 m über der Höhe des Kalksteinsockels// t.a.q. IIIc",,,,,undetermined,,,,,,,,,,,0,,0,,0,,0,,,," ",0,0,,,0,0,0,0,,
1194,"VAT 21351","ATU 5, pl. 052, W 9312,s",Englund1994ATU5,primary,"pl. 52, W 9312,s","43x25x27 - same locus as W 9311,a - 13.1.1931.","Uruk (mod. Warka)","Uruk III (ca. 3200-3000 BC)",,"Vorderasiatisches Museum, Berlin, Germany",Administrative,clay,tablet,43.0,27.0,25.0,,,"W 09312,s","Qa XVI,2","unter der Abgleichung der Schicht III, 1,5 m über der Höhe des Kalksteinsockels// t.a.q. IIIc",,,,,undetermined,,,,,,,,,,,0,,0,,0,,0,,,," ",0,0,,,0,0,0,0,,
1195,"VAT 15059","ATU 5, pl. 052, W 9312,t","Englund1994ATU5; Falkenstein1936ATU1","primary; history","pl. 52, W 9312,t; 486","33x19x17 - same locus as W 9311,a - ATU 1, 486 - 13.1.1931 - tablet rotated around vertical axis.; ","Uruk (mod. Warka)","Uruk IV (ca. 3350-3200 BC)",,"Vorderasiatisches Museum, Berlin, Germany",Administrative,clay,tablet,33.0,17.0,19.0,,,"W 09312,t","Qa XVI,3","unter der Abgleichung der Schicht III, 1,5 m über der Höhe des Kalksteinsockels// t.a.q. IIIc",,,,,undetermined,,,,,,,,,,,0,,0,,0,,0,,,," ",0,0,,,0,0,0,0,,
1199,"VAT 15097","ATU 5, pl. 052, W 9312,x","Englund1994ATU5; Falkenstein1936ATU1","primary; history","pl. 52, W 9312,x; 495","18x42x18 - same locus as W 9311,a - ATU 1, 495 - 13.1.1931.; ","Uruk (mod. Warka)","Uruk IV (ca. 3350-3200 BC)",,"Vorderasiatisches Museum, Berlin, Germany",Administrative,clay,tablet,18.0,18.0,42.0,,,"W 09312,x","Qa XVI,3","unter der Abgleichung der Schicht III, 1,5 m über der Höhe des Kalksteinsockels// t.a.q. IIIc",,,,,undetermined,,,,,,,,,,,0,,0,,0,,0,,,," ",0,0,,,0,0,0,0,,
1200,"VAT 21362","ATU 5, pl. 052, W 9312,y",Englund1994ATU5,primary,"pl. 52, W 9312,y","34x29x24 - same locus as W 9311,a - 13.1.1931.","Uruk (mod. Warka)","Uruk III (ca. 3200-3000 BC)",,"Vorderasiatisches Museum, Berlin, Germany",Administrative,clay,tablet,34.0,24.0,29.0,,,"W 09312,y","Qa XVI,2","unter der Abgleichung der Schicht III, 1,5 m über der Höhe des Kalksteinsockels// t.a.q. IIIc",,,,,undetermined,,,,,,,,,,,0,,0,,0,,0,,,," ",0,0,,,0,0,0,0,,
1201,"VAT 14652","ATU 5, pl. 052, W 9312,z","Englund1994ATU5; Falkenstein1936ATU1","primary; history","pl. 52, W 9312,z; 106","21x31x15 - same locus as W 9311,a - ATU 1, 106 - 13.1.1931.; ","Uruk (mod. Warka)","Uruk IV (ca. 3350-3200 BC)",,"Vorderasiatisches Museum, Berlin, Germany",Administrative,clay,tablet,21.0,15.0,31.0,,,"W 09312,z","Qa XVI,3","unter der Abgleichung der Schicht III, 1,5 m über der Höhe des Kalksteinsockels// t.a.q. IIIc",,,,,undetermined,,,,,,,,,,,0,,0,,0,,0,,,," ",0,0,,,0,0,0,0,,
1202,"VAT 21287","ATU 5, pl. 053, W 9312,aa","Englund1994ATU5; sec1116","primary; history","pl. 53, W 9312,aa; ","69x47x43 - same locus as W 9311,a - 13.1.1931 - tablet ""blank.""; ","Uruk (mod. Warka)","Uruk IV (ca. 3350-3200 BC)",,"Vorderasiatisches Museum, Berlin, Germany",Administrative,clay,tablet,69.0,43.0,47.0,,,"W 09312,aa","Qa XVI,3","unter der Abgleichung der Schicht III, 1,5 m über der Höhe des Kalksteinsockels",,,,,undetermined,,,,,,,,,,,0,,0,,0,,0,,,," ",0,0,,,0,0,0,0,,
1203,"VAT 14720","ATU 5, pl. 053, W 9335,a","Englund1994ATU5; Falkenstein1936ATU1; Szarzyńska1970Uruk","primary; history; history","pl. 53, W 9335,a; 24; p. 10","34x27x14 - same locus as W 9311,a - ATU 1, 24 - 13.1.1931 - see the remarks to W 9123,b and compare the text W 9579,cc.; ; ","Uruk (mod. Warka)","Uruk IV (ca. 3350-3200 BC)",,"Vorderasiatisches Museum, Berlin, Germany",Administrative,clay,tablet,34.0,14.0,27.0,,,"W 09335,a","Qa XVI,3","unter der Abgleichung der Schicht III, 1,5 m über der Höhe des Kalksteinsockels// t.a.q. IIIc",,,,,undetermined,,,,,,,,,,,0,,0,,0,,0,,,," ",0,0,,,0,0,0,0,,
1204,"VAT 14685","ATU 5, pl. 053, W 9335,b","Englund1994ATU5; Falkenstein1936ATU1; sec1120","primary; history; history","pl. 53, W 9335,b; 15; ","34x24x11 - same locus as W 9311,a - ATU 1, 15 - A. Vaiman, Peredn. sbornik 1966, 13 obv. (see BagM 21, 100) - 13.1.1931.; ; ","Uruk (mod. Warka)","Uruk IV (ca. 3350-3200 BC)",,"Vorderasiatisches Museum, Berlin, Germany",Administrative,clay,tablet,34.0,11.0,24.0,,,"W 09335,b","Qa XVI,3","unter der Abgleichung der Schicht III, 1,5 m über der Höhe des Kalksteinsockels// t.a.q. IIIc",,,,,undetermined,,,,,,,,,,,0,,0,,0,,0,,,," ",0,0,,,0,0,0,0,,
